track_fid,track_seg_,track_se_1,ele,time,magvar,geoidheigh,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsd,dgpsid,gpxtpx_Tra,Lat,Long
0,0,196,15.52,9/9/2020 1:10,,,,,,,,,,,,,,,,,,,,,,0,30.40239511,-91.17822954
0,0,197,15.52,9/9/2020 1:10,,,,,,,,,,,,,,,,,,,,,,0,30.40239553,-91.17822946
0,0,198,15.52,9/9/2020 1:10,,,,,,,,,,,,,,,,,,,,,,0,30.40239578,-91.17822921
0,0,199,15.52,9/9/2020 1:10,,,,,,,,,,,,,,,,,,,,,,0,30.40239586,-91.17822913
0,0,200,15.52,9/9/2020 1:10,,,,,,,,,,,,,,,,,,,,,,0,30.40239586,-91.17822879
0,0,201,15.52,9/9/2020 1:10,,,,,,,,,,,,,,,,,,,,,,0,30.40239586,-91.17822845
0,0,202,15.52,9/9/2020 1:10,,,,,,,,,,,,,,,,,,,,,,0,30.40239561,-91.17822812
0,0,203,15.52,9/9/2020 1:10,,,,,,,,,,,,,,,,,,,,,,0,30.40239545,-91.1782277
0,0,204,15.52,9/9/2020 1:10,,,,,,,,,,,,,,,,,,,,,,0,30.40239511,-91.17822728
0,0,205,15.52,9/9/2020 1:10,,,,,,,,,,,,,,,,,,,,,,0,30.40239452,-91.17822678
0,0,206,15.52,9/9/2020 1:10,,,,,,,,,,,,,,,,,,,,,,0,30.40239402,-91.17822636
0,0,207,15.52,9/9/2020 1:10,,,,,,,,,,,,,,,,,,,,,,0,30.40239343,-91.17822619
0,0,208,15.52,9/9/2020 1:10,,,,,,,,,,,,,,,,,,,,,,0,30.40239352,-91.17822602
0,0,209,15.52,9/9/2020 1:10,,,,,,,,,,,,,,,,,,,,,,0,30.40239343,-91.17822577
0,0,210,16,9/9/2020 1:10,,,,,,,,,,,,,,,,,,,,,,0,30.40239377,-91.17822535
0,0,211,16,9/9/2020 1:10,,,,,,,,,,,,,,,,,,,,,,0,30.40239394,-91.1782251
0,0,212,16,9/9/2020 1:10,,,,,,,,,,,,,,,,,,,,,,0,30.40239419,-91.17822452
0,0,213,16,9/9/2020 1:10,,,,,,,,,,,,,,,,,,,,,,0,30.40239461,-91.1782241
0,0,214,16,9/9/2020 1:10,,,,,,,,,,,,,,,,,,,,,,0,30.40239494,-91.17822393
0,0,215,16,9/9/2020 1:10,,,,,,,,,,,,,,,,,,,,,,0,30.40239545,-91.17822359
0,0,216,16,9/9/2020 1:10,,,,,,,,,,,,,,,,,,,,,,0,30.40239586,-91.17822343
0,0,217,16,9/9/2020 1:10,,,,,,,,,,,,,,,,,,,,,,0,30.40239637,-91.17822326
0,0,218,16,9/9/2020 1:10,,,,,,,,,,,,,,,,,,,,,,0,30.40239679,-91.17822292
0,0,219,16,9/9/2020 1:10,,,,,,,,,,,,,,,,,,,,,,0,30.40239737,-91.17822275
0,0,220,16.48,9/9/2020 1:10,,,,,,,,,,,,,,,,,,,,,,0,30.40239813,-91.17822259
0,0,221,16.48,9/9/2020 1:10,,,,,,,,,,,,,,,,,,,,,,0,30.4023988,-91.17822225
0,0,222,16.48,9/9/2020 1:10,,,,,,,,,,,,,,,,,,,,,,0,30.40239964,-91.17822167
0,0,223,16.48,9/9/2020 1:10,,,,,,,,,,,,,,,,,,,,,,0,30.40240031,-91.17822099
0,0,224,16.48,9/9/2020 1:10,,,,,,,,,,,,,,,,,,,,,,0,30.40240106,-91.17822049
0,0,225,16.48,9/9/2020 1:10,,,,,,,,,,,,,,,,,,,,,,0,30.40240165,-91.17822007
0,0,226,16.48,9/9/2020 1:10,,,,,,,,,,,,,,,,,,,,,,0,30.40240224,-91.17821965
0,0,227,16.48,9/9/2020 1:10,,,,,,,,,,,,,,,,,,,,,,0,30.40240274,-91.17821949
0,0,228,16.48,9/9/2020 1:10,,,,,,,,,,,,,,,,,,,,,,0,30.40240299,-91.17821932
0,0,229,16.48,9/9/2020 1:10,,,,,,,,,,,,,,,,,,,,,,0,30.40240291,-91.17821915
0,0,230,16.48,9/9/2020 1:10,,,,,,,,,,,,,,,,,,,,,,0,30.40240291,-91.17821915
0,0,231,16.48,9/9/2020 1:10,,,,,,,,,,,,,,,,,,,,,,0,30.40240291,-91.17821923
0,0,232,16.48,9/9/2020 1:10,,,,,,,,,,,,,,,,,,,,,,0,30.40240299,-91.17821932
0,0,233,16.48,9/9/2020 1:10,,,,,,,,,,,,,,,,,,,,,,0,30.40240307,-91.17821957
0,0,234,16.96,9/9/2020 1:10,,,,,,,,,,,,,,,,,,,,,,0,30.40240282,-91.17822007
